MOF_no,ethane_avg(mol/kg),ethylene_avg(mol/kg),C2H6/C2H4 Selectivity (1Bar),TSN,oms,Df,AV_Volume_fraction_1.9,channel_dimentionality
ddmof_8842,0.187418,0.964611,1.74864479049067,0.04548664816674,3,8.222,0.38488,3
ddmof_8843,0.113436,0.663979,1.5375847730124,0.021194276681772,3,7.90935,0.396,3
ddmof_8844,0.171531,0.982053,1.57199153202526,0.033697299643904,19,10.15046,0.37634,3
ddmof_8845,0.173087,0.921909,1.68973618871277,0.039432490872975,13,6.62425,0.26232,3
ddmof_8846,0.256451,1.242301,1.85789031804691,0.068990466359537,10,6.85926,0.18366,2
ddmof_8847,0.082677,0.414572,1.7948462510734,0.021002211135298,5,8.90274,0.5356,3
ddmof_8848,0.189435,0.919968,1.85323293853699,0.05075532154976,3,6.2275,0.26756,3
ddmof_8849,0.120193,0.666039,1.62413462274732,0.025315293001913,3,7.64692,0.34456,3
ddmof_885,0.146202,0.705151,1.86600884065966,0.039608124327115,18,5.52564,0.23846,3
ddmof_8850,0.057922,0.310665,1.67800685625996,0.013020502487207,6,6.48916,0.25628,3
ddmof_8851,0.150978,0.608049,2.23469161202469,0.052724174640819,3,6.47842,0.20442,3
ddmof_8852,0.171704,0.863564,1.789486361173,0.043394475940323,9,8.53143,0.27068,3
ddmof_8853,0.189668,0.832731,2.04989606487569,0.059125554959331,6,3.41352,0.0673,0
ddmof_8854,0.091944,0.47735,1.73352047763695,0.021968085790775,7,4.0038,0.09004,1
ddmof_8855,0.121981,0.661594,1.65936964361829,0.026828884267422,2,10.75447,0.58482,3
ddmof_8856,0.098615,0.543868,1.63189413607714,0.020974619791464,6,5.27616,0.21272,3
ddmof_8857,0.122506,0.548801,2.00902330717327,0.03711747736383,1,4.08059,0.05424,2
ddmof_8858,0.09904,0.577067,1.54463866414125,0.018701416329053,6,7.22347,0.34054,3
ddmof_8859,0.129103,0.673762,1.72453626057866,0.030555107871099,8,8.27069,0.31752,3
ddmof_886,0.098973,0.557394,1.59807425268302,0.020150601371852,22,10.03718,0.50516,3
ddmof_8860,0.093615,0.43562,1.93410541297461,0.026818838342707,2,12.10919,0.50498,3
ddmof_8861,0.1059,0.602215,1.58265735659191,0.021115072795529,4,10.6813,0.52732,3
ddmof_8862,0.222993,1.009149,1.98874199944706,0.066580903303078,4,3.43534,0.06246,0
ddmof_8863,0.143214,0.696599,1.85031273372485,0.038273245139199,8,5.99202,0.2604,3
ddmof_8864,0.068045,0.343106,1.78488572044791,0.017120830694675,4,6.9487,0.3842,3
ddmof_8865,0.106519,0.553243,1.7328208400287,0.025431801367329,1,8.09412,0.41902,3
