MOF_no,propane_avg(mol/kg),propylene_avg(mol/kg),C3H8/C3H6 Selectivity (1Bar),TSN,oms,Df,AV_Volume_fraction_1.9,channel_dimentionality
ddmof_3436,0.313962,1.29559,1.37321066078003,0.043244236227054,4,10.87073,0.49556,3
ddmof_3437,0.665071,2.843491,1.32539039746096,0.081367326561515,4,7.8749,0.41208,3
ddmof_3438,0.321618,1.236009,1.47450544453964,0.054239711604302,4,9.06089,0.3025,3
ddmof_3439,0.508038,2.218951,1.29740674760281,0.057446982259897,4,10.29623,0.47678,3
ddmof_344,0.481815,2.074321,1.31623070874759,0.057495956749176,21,10.74549,0.51622,3
ddmof_3440,0.349677,1.517149,1.30607013549757,0.040550817478893,4,12.86082,0.55588,3
ddmof_3441,0.948791,3.916726,1.37269809870114,0.130529952327841,4,5.97518,0.2041,3
ddmof_3442,0.134251,0.50671,1.50136304131883,0.023693384495406,2,16.5864,0.45612,3
ddmof_3443,0.275427,1.111819,1.40378334962795,0.040570421037266,4,11.43795,0.5621,3
ddmof_3444,0.507824,2.140711,1.34425867542762,0.065246673782329,4,10.31121,0.47266,3
ddmof_3445,0.976539,3.903045,1.4177958491383,0.148056691511438,4,6.2928,0.26944,3
ddmof_3446,0.840788,3.465846,1.37469043152331,0.116201029692222,8,5.43937,0.19762,3
ddmof_3447,0.592413,2.357346,1.42406205962129,0.090952525691086,4,10.77012,0.37906,3
ddmof_3448,0.283104,1.187029,1.35148846405606,0.0370334975609,4,12.2522,0.58046,3
ddmof_3449,0.330163,1.411383,1.32559600524214,0.040415644615444,4,9.34613,0.42924,3
ddmof_345,0.532649,2.20859,1.3666385944577,0.072255797648972,13,8.75098,0.4087,3
ddmof_3450,0.299111,1.254392,1.35122221230152,0.039101816650391,4,12.25293,0.60836,3
